Time,FireRegion,TotalBurnedSites,NumberFires,
21, StLouisMoraines, 21, 7, 
21, ChippewaPlains, 109, 46, 
21, Inactive, 0, 0, 
22, PineMoraines, 76, 38, 
22, StLouisMoraines, 12, 4, 
22, ChippewaPlains, 132, 52, 
22, Inactive, 0, 0, 
23, PineMoraines, 56, 28, 
23, StLouisMoraines, 28, 9, 
23, ChippewaPlains, 123, 47, 
23, Inactive, 0, 0, 
24, PineMoraines, 39, 19, 
24, StLouisMoraines, 10, 5, 
24, ChippewaPlains, 143, 56, 
24, Inactive, 0, 0, 
25, PineMoraines, 60, 30, 
25, StLouisMoraines, 18, 8, 
25, ChippewaPlains, 117, 47, 
25, Inactive, 0, 0, 
26, PineMoraines, 48, 24, 
26, StLouisMoraines, 26, 10, 
26, ChippewaPlains, 105, 42, 
26, Inactive, 0, 0, 
27, PineMoraines, 44, 22, 
27, StLouisMoraines, 29, 12, 
27, ChippewaPlains, 112, 43, 
27, Inactive, 0, 0, 
28, PineMoraines, 38, 19, 
28, StLouisMoraines, 30, 9, 
28, ChippewaPlains, 218, 40, 
28, Inactive, 0, 0, 
29, PineMoraines, 50, 25, 
29, StLouisMoraines, 25, 11, 
29, ChippewaPlains, 104, 36, 
29, Inactive, 0, 0, 
30, PineMoraines, 46, 23, 
30, StLouisMoraines, 23, 9, 
30, ChippewaPlains, 157, 52, 
30, Inactive, 0, 0, 
31, PineMoraines, 52, 26, 
31, StLouisMoraines, 17, 6, 
31, ChippewaPlains, 87, 31, 
31, Inactive, 0, 0, 
32, PineMoraines, 30, 15, 
32, StLouisMoraines, 9, 4, 
32, ChippewaPlains, 101, 40, 
32, Inactive, 0, 0, 
33, PineMoraines, 46, 23, 
33, StLouisMoraines, 30, 9, 
33, ChippewaPlains, 95, 37, 
33, Inactive, 0, 0, 
34, PineMoraines, 24, 12, 
34, StLouisMoraines, 8, 4, 
34, ChippewaPlains, 182, 39, 
34, Inactive, 0, 0, 
35, PineMoraines, 66, 33, 
35, StLouisMoraines, 23, 11, 
35, ChippewaPlains, 104, 36, 
35, Inactive, 0, 0, 
36, PineMoraines, 56, 28, 
36, StLouisMoraines, 10, 5, 
36, ChippewaPlains, 94, 38, 
36, Inactive, 0, 0, 
37, PineMoraines, 58, 29, 
37, StLouisMoraines, 32, 8, 
37, ChippewaPlains, 115, 48, 
37, Inactive, 0, 0, 
38, PineMoraines, 50, 25, 
38, StLouisMoraines, 15, 7, 
38, ChippewaPlains, 184, 49, 
38, Inactive, 0, 0, 
39, PineMoraines, 44, 22, 
39, StLouisMoraines, 4, 2, 
39, ChippewaPlains, 141, 50, 
39, Inactive, 0, 0, 
40, PineMoraines, 36, 18, 
40, StLouisMoraines, 14, 6, 
40, ChippewaPlains, 179, 57, 
40, Inactive, 0, 0, 
41, PineMoraines, 72, 36, 
41, StLouisMoraines, 14, 7, 
41, ChippewaPlains, 145, 40, 
41, Inactive, 0, 0, 
42, PineMoraines, 48, 24, 
42, StLouisMoraines, 15, 6, 
42, ChippewaPlains, 125, 43, 
42, Inactive, 0, 0, 
43, PineMoraines, 84, 42, 
43, StLouisMoraines, 21, 7, 
43, ChippewaPlains, 166, 40, 
43, Inactive, 0, 0, 
44, PineMoraines, 48, 24, 
44, StLouisMoraines, 17, 8, 
44, ChippewaPlains, 101, 44, 
44, Inactive, 0, 0, 
45, PineMoraines, 40, 20, 
45, StLouisMoraines, 16, 7, 
45, ChippewaPlains, 113, 45, 
45, Inactive, 0, 0, 
46, PineMoraines, 48, 24, 
46, StLouisMoraines, 26, 11, 
46, ChippewaPlains, 108, 38, 
46, Inactive, 0, 0, 
47, PineMoraines, 44, 22, 
47, StLouisMoraines, 26, 12, 
47, ChippewaPlains, 95, 36, 
47, Inactive, 0, 0, 
48, PineMoraines, 58, 29, 
48, StLouisMoraines, 14, 6, 
48, ChippewaPlains, 135, 38, 
48, Inactive, 0, 0, 
49, PineMoraines, 50, 25, 
49, StLouisMoraines, 29, 10, 
49, ChippewaPlains, 99, 39, 
49, Inactive, 0, 0, 
50, PineMoraines, 64, 32, 
50, StLouisMoraines, 11, 5, 
50, ChippewaPlains, 106, 49, 
50, Inactive, 0, 0, 
51, PineMoraines, 52, 26, 
51, StLouisMoraines, 30, 13, 
51, ChippewaPlains, 117, 38, 
51, Inactive, 0, 0, 
52, PineMoraines, 46, 23, 
52, StLouisMoraines, 14, 7, 
52, ChippewaPlains, 99, 44, 
52, Inactive, 0, 0, 
53, PineMoraines, 52, 26, 
53, StLouisMoraines, 34, 16, 
53, ChippewaPlains, 74, 33, 
53, Inactive, 0, 0, 
54, PineMoraines, 44, 22, 
54, StLouisMoraines, 21, 10, 
54, ChippewaPlains, 88, 38, 
54, Inactive, 0, 0, 
55, PineMoraines, 44, 22, 
55, StLouisMoraines, 28, 11, 
55, ChippewaPlains, 93, 38, 
55, Inactive, 0, 0, 
56, PineMoraines, 42, 21, 
56, StLouisMoraines, 11, 5, 
56, ChippewaPlains, 118, 39, 
56, Inactive, 0, 0, 
57, PineMoraines, 40, 20, 
57, StLouisMoraines, 23, 9, 
57, ChippewaPlains, 122, 54, 
57, Inactive, 0, 0, 
58, PineMoraines, 44, 22, 
58, StLouisMoraines, 10, 4, 
58, ChippewaPlains, 104, 39, 
58, Inactive, 0, 0, 
59, PineMoraines, 46, 23, 
59, StLouisMoraines, 20, 6, 
59, ChippewaPlains, 114, 43, 
59, Inactive, 0, 0, 
60, PineMoraines, 46, 23, 
60, StLouisMoraines, 10, 5, 
60, ChippewaPlains, 122, 40, 
60, Inactive, 0, 0, 
61, PineMoraines, 56, 28, 
61, StLouisMoraines, 17, 7, 
61, ChippewaPlains, 105, 43, 
61, Inactive, 0, 0, 
62, PineMoraines, 34, 17, 
62, StLouisMoraines, 14, 5, 
62, ChippewaPlains, 97, 39, 
62, Inactive, 0, 0, 
63, PineMoraines, 44, 22, 
63, StLouisMoraines, 7, 3, 
63, ChippewaPlains, 82, 36, 
63, Inactive, 0, 0, 
64, PineMoraines, 36, 18, 
64, StLouisMoraines, 51, 13, 
64, ChippewaPlains, 104, 38, 
64, Inactive, 0, 0, 
65, PineMoraines, 44, 22, 
65, StLouisMoraines, 6, 3, 
65, ChippewaPlains, 122, 39, 
65, Inactive, 0, 0, 
66, PineMoraines, 32, 16, 
66, StLouisMoraines, 16, 8, 
66, ChippewaPlains, 91, 35, 
66, Inactive, 0, 0, 
67, PineMoraines, 44, 22, 
67, StLouisMoraines, 10, 4, 
67, ChippewaPlains, 85, 31, 
67, Inactive, 0, 0, 
68, PineMoraines, 46, 23, 
68, StLouisMoraines, 10, 4, 
68, ChippewaPlains, 95, 31, 
68, Inactive, 0, 0, 
69, PineMoraines, 40, 20, 
69, StLouisMoraines, 13, 6, 
69, ChippewaPlains, 102, 38, 
69, Inactive, 0, 0, 
70, PineMoraines, 38, 19, 
70, StLouisMoraines, 23, 9, 
70, ChippewaPlains, 103, 41, 
70, Inactive, 0, 0, 
71, PineMoraines, 48, 24, 
71, StLouisMoraines, 15, 6, 
71, ChippewaPlains, 77, 26, 
71, Inactive, 0, 0, 
72, PineMoraines, 28, 14, 
72, StLouisMoraines, 20, 8, 
72, ChippewaPlains, 66, 27, 
72, Inactive, 0, 0, 
73, PineMoraines, 40, 20, 
73, StLouisMoraines, 22, 10, 
73, ChippewaPlains, 81, 29, 
73, Inactive, 0, 0, 
74, PineMoraines, 18, 9, 
74, StLouisMoraines, 16, 5, 
74, ChippewaPlains, 91, 41, 
74, Inactive, 0, 0, 
75, PineMoraines, 36, 18, 
75, StLouisMoraines, 17, 6, 
75, ChippewaPlains, 78, 30, 
75, Inactive, 0, 0, 
76, PineMoraines, 44, 22, 
76, StLouisMoraines, 20, 9, 
76, ChippewaPlains, 135, 36, 
76, Inactive, 0, 0, 
77, PineMoraines, 30, 15, 
77, StLouisMoraines, 23, 8, 
77, ChippewaPlains, 109, 35, 
77, Inactive, 0, 0, 
78, PineMoraines, 42, 21, 
78, StLouisMoraines, 17, 7, 
78, ChippewaPlains, 91, 34, 
78, Inactive, 0, 0, 
79, PineMoraines, 36, 18, 
79, StLouisMoraines, 17, 7, 
79, ChippewaPlains, 132, 35, 
79, Inactive, 0, 0, 
80, PineMoraines, 36, 18, 
80, StLouisMoraines, 6, 3, 
80, ChippewaPlains, 114, 37, 
80, Inactive, 0, 0, 
81, PineMoraines, 18, 9, 
81, StLouisMoraines, 2, 1, 
81, ChippewaPlains, 55, 24, 
81, Inactive, 0, 0, 
82, PineMoraines, 40, 20, 
82, StLouisMoraines, 8, 3, 
82, ChippewaPlains, 81, 29, 
82, Inactive, 0, 0, 
83, PineMoraines, 40, 20, 
83, StLouisMoraines, 26, 11, 
83, ChippewaPlains, 56, 25, 
83, Inactive, 0, 0, 
84, PineMoraines, 32, 16, 
84, StLouisMoraines, 11, 5, 
84, ChippewaPlains, 94, 33, 
84, Inactive, 0, 0, 
85, PineMoraines, 32, 16, 
85, StLouisMoraines, 11, 5, 
85, ChippewaPlains, 52, 24, 
85, Inactive, 0, 0, 
86, PineMoraines, 34, 17, 
86, StLouisMoraines, 19, 8, 
86, ChippewaPlains, 61, 30, 
86, Inactive, 0, 0, 
87, PineMoraines, 22, 11, 
87, StLouisMoraines, 10, 5, 
87, ChippewaPlains, 91, 36, 
87, Inactive, 0, 0, 
88, PineMoraines, 30, 15, 
88, StLouisMoraines, 16, 5, 
88, ChippewaPlains, 99, 38, 
88, Inactive, 0, 0, 
89, PineMoraines, 22, 11, 
89, StLouisMoraines, 10, 5, 
89, ChippewaPlains, 74, 31, 
89, Inactive, 0, 0, 
90, PineMoraines, 32, 16, 
90, StLouisMoraines, 5, 2, 
90, ChippewaPlains, 71, 32, 
90, Inactive, 0, 0, 
91, PineMoraines, 22, 11, 
91, StLouisMoraines, 36, 10, 
91, ChippewaPlains, 129, 37, 
91, Inactive, 0, 0, 
92, PineMoraines, 32, 16, 
92, StLouisMoraines, 12, 5, 
92, ChippewaPlains, 102, 32, 
92, Inactive, 0, 0, 
93, PineMoraines, 34, 17, 
93, StLouisMoraines, 13, 4, 
93, ChippewaPlains, 61, 27, 
93, Inactive, 0, 0, 
94, PineMoraines, 26, 13, 
94, StLouisMoraines, 15, 6, 
94, ChippewaPlains, 67, 26, 
94, Inactive, 0, 0, 
95, PineMoraines, 22, 11, 
95, StLouisMoraines, 0, 0, 
95, ChippewaPlains, 58, 26, 
95, Inactive, 0, 0, 
96, PineMoraines, 30, 15, 
96, StLouisMoraines, 16, 7, 
96, ChippewaPlains, 71, 27, 
96, Inactive, 0, 0, 
97, PineMoraines, 24, 12, 
97, StLouisMoraines, 11, 5, 
97, ChippewaPlains, 51, 22, 
97, Inactive, 0, 0, 
98, PineMoraines, 22, 11, 
98, StLouisMoraines, 11, 5, 
98, ChippewaPlains, 58, 26, 
98, Inactive, 0, 0, 
99, PineMoraines, 14, 7, 
99, StLouisMoraines, 11, 5, 
99, ChippewaPlains, 57, 23, 
99, Inactive, 0, 0, 
100, PineMoraines, 38, 19, 
100, StLouisMoraines, 13, 4, 
100, ChippewaPlains, 76, 33, 
100, Inactive, 0, 0, 
