Time,FireRegion,TotalBurnedSites,NumberFires,
1, PineMoraines, 120, 60, 
1, StLouisMoraines, 73, 23, 
1, ChippewaPlains, 551, 91, 
1, Inactive, 0, 0, 
2, PineMoraines, 128, 64, 
2, StLouisMoraines, 45, 18, 
2, ChippewaPlains, 261, 89, 
2, Inactive, 0, 0, 
3, PineMoraines, 114, 57, 
3, StLouisMoraines, 76, 23, 
3, ChippewaPlains, 314, 108, 
3, Inactive, 0, 0, 
4, PineMoraines, 122, 61, 
4, StLouisMoraines, 50, 17, 
4, ChippewaPlains, 285, 86, 
4, Inactive, 0, 0, 
5, PineMoraines, 114, 57, 
5, StLouisMoraines, 54, 23, 
5, ChippewaPlains, 323, 93, 
5, Inactive, 0, 0, 
6, PineMoraines, 136, 68, 
6, StLouisMoraines, 41, 15, 
6, ChippewaPlains, 371, 86, 
6, Inactive, 0, 0, 
7, PineMoraines, 100, 50, 
7, StLouisMoraines, 52, 18, 
7, ChippewaPlains, 222, 86, 
7, Inactive, 0, 0, 
8, PineMoraines, 118, 59, 
8, StLouisMoraines, 41, 15, 
8, ChippewaPlains, 252, 97, 
8, Inactive, 0, 0, 
9, PineMoraines, 148, 74, 
9, StLouisMoraines, 43, 12, 
9, ChippewaPlains, 278, 94, 
9, Inactive, 0, 0, 
10, PineMoraines, 96, 48, 
10, StLouisMoraines, 58, 20, 
10, ChippewaPlains, 221, 67, 
10, Inactive, 0, 0, 
11, PineMoraines, 104, 52, 
11, StLouisMoraines, 32, 10, 
11, ChippewaPlains, 162, 52, 
11, Inactive, 0, 0, 
12, PineMoraines, 76, 38, 
12, StLouisMoraines, 56, 15, 
12, ChippewaPlains, 285, 70, 
12, Inactive, 0, 0, 
13, PineMoraines, 86, 43, 
13, StLouisMoraines, 60, 19, 
13, ChippewaPlains, 175, 68, 
13, Inactive, 0, 0, 
14, PineMoraines, 86, 43, 
14, StLouisMoraines, 33, 15, 
14, ChippewaPlains, 167, 59, 
14, Inactive, 0, 0, 
15, PineMoraines, 84, 42, 
15, StLouisMoraines, 18, 9, 
15, ChippewaPlains, 368, 68, 
15, Inactive, 0, 0, 
16, PineMoraines, 82, 41, 
16, StLouisMoraines, 37, 13, 
16, ChippewaPlains, 141, 58, 
16, Inactive, 0, 0, 
17, PineMoraines, 69, 34, 
17, StLouisMoraines, 41, 16, 
17, ChippewaPlains, 193, 57, 
17, Inactive, 0, 0, 
18, PineMoraines, 74, 37, 
18, StLouisMoraines, 17, 7, 
18, ChippewaPlains, 207, 65, 
18, Inactive, 0, 0, 
19, PineMoraines, 78, 39, 
19, StLouisMoraines, 28, 11, 
19, ChippewaPlains, 197, 56, 
19, Inactive, 0, 0, 
20, PineMoraines, 68, 34, 
20, StLouisMoraines, 23, 7, 
20, ChippewaPlains, 160, 57, 
20, Inactive, 0, 0, 
21, PineMoraines, 44, 22, 
