Time, Ecoregion, Species, TempMult, MinJanTempMult, SoilMoistureMult, OtherAdjustMult, ProbEst
1, MN101, abiebals,0.97,1.00,0.27,0.40,0.11
1, MN101, acernegu,0.26,0.00,0.58,0.40,0.00
1, MN101, acerrubr,0.26,0.00,0.58,0.40,0.00
1, MN101, acersacc,0.69,0.00,0.00,0.40,0.00
1, MN101, acerspic,0.26,0.00,0.58,0.40,0.00
1, MN101, betualle,0.95,0.00,0.39,0.40,0.00
1, MN101, betupapy,0.76,1.00,0.67,0.40,0.27
1, MN101, celtis,0.26,0.00,0.58,0.40,0.00
1, MN101, fraxamer,0.20,0.00,0.67,0.40,0.00
1, MN101, fraxnigr,1.00,0.00,0.00,0.40,0.00
1, MN101, fraxpenn,0.46,1.00,0.00,0.40,0.00
1, MN101, larilari,0.98,1.00,0.65,0.40,0.26
1, MN101, ostrvirg,0.31,0.00,0.67,0.40,0.00
1, MN101, piceglau,0.56,1.00,0.62,0.40,0.22
1, MN101, picemari,0.55,1.00,0.66,0.40,0.22
1, MN101, pinubank,0.97,1.00,0.79,0.40,0.32
1, MN101, pinuresi,0.98,0.00,0.78,0.40,0.00
1, MN101, pinustro,0.77,0.00,0.77,0.40,0.00
1, MN101, popubals,0.99,1.00,0.65,0.40,0.26
1, MN101, popudelt,0.99,1.00,0.60,0.40,0.24
1, MN101, popugran,0.77,0.00,0.69,0.40,0.00
1, MN101, poputrem,1.00,1.00,0.65,0.40,0.26
1, MN101, prunpens,0.99,1.00,0.36,0.40,0.14
1, MN101, prunsero,0.33,0.00,0.70,0.40,0.00
1, MN101, prunvirg,0.33,0.00,0.70,0.40,0.00
1, MN101, queralba,0.36,0.00,0.75,0.40,0.00
1, MN101, querelli,0.00,0.00,0.77,0.40,0.00
1, MN101, quermacr,0.52,0.00,0.78,0.40,0.00
1, MN101, querrubr,0.52,0.00,0.49,0.40,0.00
1, MN101, salix,0.99,1.00,0.65,0.40,0.26
1, MN101, thujocci,0.99,0.00,0.72,0.40,0.00
1, MN101, tiliamer,0.47,0.00,0.48,0.40,0.00
1, MN101, ulmuamer,0.28,0.00,0.65,0.40,0.00
1, MN101, ulmurubr,0.28,0.00,0.65,0.40,0.00
1, MN102, abiebals,0.81,1.00,0.51,0.40,0.20
1, MN102, acernegu,0.40,1.00,0.68,0.40,0.16
1, MN102, acerrubr,0.40,1.00,0.68,0.40,0.16
1, MN102, acersacc,0.90,1.00,0.00,0.40,0.00
1, MN102, acerspic,0.40,1.00,0.68,0.40,0.16
1, MN102, betualle,0.99,1.00,0.56,0.40,0.23
1, MN102, betupapy,0.38,1.00,0.75,0.40,0.15
1, MN102, celtis,0.40,1.00,0.68,0.40,0.16
1, MN102, fraxamer,0.37,0.00,0.75,0.40,0.00
1, MN102, fraxnigr,0.86,1.00,0.00,0.40,0.00
1, MN102, fraxpenn,0.60,1.00,0.00,0.40,0.00
1, MN102, larilari,0.89,1.00,0.74,0.40,0.29
1, MN102, ostrvirg,0.48,1.00,0.75,0.40,0.19
1, MN102, piceglau,0.10,1.00,0.71,0.40,0.04
1, MN102, picemari,0.10,1.00,0.74,0.40,0.04
1, MN102, pinubank,0.75,1.00,0.84,0.40,0.30
