11/02/2017 11:16:00 AM preworker.prepairMaps     INFO     prepair year = 40
11/02/2017 11:16:00 AM preworker.prepairMaps     INFO     prepair year = 50
11/02/2017 11:16:00 AM preworker.prepairMaps     INFO     prepair year = 60
11/02/2017 11:16:00 AM preworker.prepairMaps     INFO     prepair year = 70
11/02/2017 11:16:00 AM preworker.prepairMaps     INFO     prepair year = 80
11/02/2017 11:16:00 AM preworker.prepairMaps     INFO     prepair year = 90
11/02/2017 11:16:00 AM preworker.prepairMaps     INFO     prepair year = 100
11/02/2017 11:16:01 AM landis.tiler              DEBUG    Start tiling process with multiprocessing
11/02/2017 11:16:04 AM landis.tiler              DEBUG    End tiling process with multiprocessing
11/02/2017 11:16:04 AM preworker.prepairMaps     INFO     scenario: Baseline Climate, BaseWind
11/02/2017 11:16:04 AM preworker.prepairMaps     INFO     extension: Output Leaf Biomass
11/02/2017 11:16:04 AM preworker.prepairMaps     INFO     output: Species Biomass Map: acerrubr
11/02/2017 11:16:04 AM preworker.prepairMaps     INFO     prepair year = 0
11/02/2017 11:16:04 AM preworker.prepairMaps     INFO     prepair year = 10
11/02/2017 11:16:04 AM preworker.prepairMaps     INFO     prepair year = 20
11/02/2017 11:16:04 AM preworker.prepairMaps     INFO     prepair year = 30
11/02/2017 11:16:04 AM preworker.prepairMaps     INFO     prepair year = 40
11/02/2017 11:16:05 AM preworker.prepairMaps     INFO     prepair year = 50
11/02/2017 11:16:05 AM preworker.prepairMaps     INFO     prepair year = 60
11/02/2017 11:16:05 AM preworker.prepairMaps     INFO     prepair year = 70
11/02/2017 11:16:05 AM preworker.prepairMaps     INFO     prepair year = 80
11/02/2017 11:16:05 AM preworker.prepairMaps     INFO     prepair year = 90
11/02/2017 11:16:05 AM preworker.prepairMaps     INFO     prepair year = 100
11/02/2017 11:16:06 AM landis.tiler              DEBUG    Start tiling process with multiprocessing
11/02/2017 11:16:10 AM landis.tiler              DEBUG    End tiling process with multiprocessing
