11/03/2017 02:01:52 PM preworker.prepairMaps     INFO     prepair year = 50
11/03/2017 02:01:52 PM preworker.prepairMaps     INFO     prepair year = 60
11/03/2017 02:01:52 PM preworker.prepairMaps     INFO     prepair year = 70
11/03/2017 02:01:52 PM preworker.prepairMaps     INFO     prepair year = 80
11/03/2017 02:01:52 PM preworker.prepairMaps     INFO     prepair year = 90
11/03/2017 02:01:52 PM preworker.prepairMaps     INFO     prepair year = 100
11/03/2017 02:01:53 PM landis.tiler              DEBUG    Start tiling process with multiprocessing
11/03/2017 02:01:56 PM landis.tiler              DEBUG    End tiling process with multiprocessing
11/03/2017 02:01:56 PM preworker.prepairMaps     INFO     scenario: Baseline Climate, BaseWind
11/03/2017 02:01:56 PM preworker.prepairMaps     INFO     extension: Output Leaf Biomass
11/03/2017 02:01:56 PM preworker.prepairMaps     INFO     output: Species Biomass Map: acerrubr
11/03/2017 02:01:56 PM preworker.prepairMaps     INFO     prepair year = 0
11/03/2017 02:01:56 PM preworker.prepairMaps     INFO     prepair year = 10
11/03/2017 02:01:57 PM preworker.prepairMaps     INFO     prepair year = 20
11/03/2017 02:01:57 PM preworker.prepairMaps     INFO     prepair year = 30
11/03/2017 02:01:57 PM preworker.prepairMaps     INFO     prepair year = 40
11/03/2017 02:01:57 PM preworker.prepairMaps     INFO     prepair year = 50
11/03/2017 02:01:57 PM preworker.prepairMaps     INFO     prepair year = 60
11/03/2017 02:01:57 PM preworker.prepairMaps     INFO     prepair year = 70
11/03/2017 02:01:57 PM preworker.prepairMaps     INFO     prepair year = 80
11/03/2017 02:01:58 PM preworker.prepairMaps     INFO     prepair year = 90
11/03/2017 02:01:58 PM preworker.prepairMaps     INFO     prepair year = 100
11/03/2017 02:01:59 PM landis.tiler              DEBUG    Start tiling process with multiprocessing
11/03/2017 02:02:02 PM landis.tiler              DEBUG    End tiling process with multiprocessing
11/03/2017 02:02:02 PM preworker.prepairMaps     INFO     scenario: Baseline Climate, BaseWind
11/03/2017 02:02:02 PM preworker.prepairMaps     INFO     extension: Output Leaf Biomass
11/03/2017 02:02:02 PM preworker.prepairMaps     INFO     output: Species Biomass Map: acersacc
11/03/2017 02:02:02 PM preworker.prepairMaps     INFO     prepair year = 0
11/03/2017 02:02:02 PM preworker.prepairMaps     INFO     prepair year = 10
11/03/2017 02:02:02 PM preworker.prepairMaps     INFO     prepair year = 20
11/03/2017 02:02:02 PM preworker.prepairMaps     INFO     prepair year = 30
11/03/2017 02:02:03 PM preworker.prepairMaps     INFO     prepair year = 40
11/03/2017 02:02:03 PM preworker.prepairMaps     INFO     prepair year = 50
11/03/2017 02:02:03 PM preworker.prepairMaps     INFO     prepair year = 60
11/03/2017 02:02:03 PM preworker.prepairMaps     INFO     prepair year = 70
11/03/2017 02:02:03 PM preworker.prepairMaps     INFO     prepair year = 80
11/03/2017 02:02:03 PM preworker.prepairMaps     INFO     prepair year = 90
11/03/2017 02:02:03 PM preworker.prepairMaps     INFO     prepair year = 100
11/03/2017 02:02:04 PM landis.tiler              DEBUG    Start tiling process with multiprocessing
11/03/2017 02:02:07 PM landis.tiler              DEBUG    End tiling process with multiprocessing
11/03/2017 02:02:07 PM preworker.prepairMaps     INFO     scenario: Baseline Climate, BaseWind
11/03/2017 02:02:07 PM preworker.prepairMaps     INFO     extension: Output Leaf Biomass
11/03/2017 02:02:07 PM preworker.prepairMaps     INFO     output: Species Biomass Map: betualle
11/03/2017 02:02:07 PM preworker.prepairMaps     INFO     prepair year = 0
11/03/2017 02:02:08 PM preworker.prepairMaps     INFO     prepair year = 10
11/03/2017 02:02:08 PM preworker.prepairMaps     INFO     prepair year = 20
11/03/2017 02:02:08 PM preworker.prepairMaps     INFO     prepair year = 30
11/03/2017 02:02:08 PM preworker.prepairMaps     INFO     prepair year = 40
11/03/2017 02:02:08 PM preworker.prepairMaps     INFO     prepair year = 50
11/03/2017 02:02:08 PM preworker.prepairMaps     INFO     prepair year = 60
11/03/2017 02:02:08 PM preworker.prepairMaps     INFO     prepair year = 70
11/03/2017 02:02:09 PM preworker.prepairMaps     INFO     prepair year = 80
11/03/2017 02:02:09 PM preworker.prepairMaps     INFO     prepair year = 90
11/03/2017 02:02:09 PM preworker.prepairMaps     INFO     prepair year = 100
11/03/2017 02:02:10 PM landis.tiler              DEBUG    Start tiling process with multiprocessing
11/03/2017 02:02:13 PM landis.tiler              DEBUG    End tiling process with multiprocessing
11/03/2017 02:02:13 PM preworker.prepairMaps     INFO     scenario: Baseline Climate, BaseWind
11/03/2017 02:02:13 PM preworker.prepairMaps     INFO     extension: Output Leaf Biomass
11/03/2017 02:02:13 PM preworker.prepairMaps     INFO     output: Species Biomass Map: betupapy
11/03/2017 02:02:13 PM preworker.prepairMaps     INFO     prepair year = 0
11/03/2017 02:02:13 PM preworker.prepairMaps     INFO     prepair year = 10
11/03/2017 02:02:13 PM preworker.prepairMaps     INFO     prepair year = 20
11/03/2017 02:02:13 PM preworker.prepairMaps     INFO     prepair year = 30
11/03/2017 02:02:14 PM preworker.prepairMaps     INFO     prepair year = 40
11/03/2017 02:02:14 PM preworker.prepairMaps     INFO     prepair year = 50
11/03/2017 02:02:14 PM preworker.prepairMaps     INFO     prepair year = 60
11/03/2017 02:02:14 PM preworker.prepairMaps     INFO     prepair year = 70
11/03/2017 02:02:15 PM preworker.prepairMaps     INFO     prepair year = 80
11/03/2017 02:02:15 PM preworker.prepairMaps     INFO     prepair year = 90
11/03/2017 02:02:15 PM preworker.prepairMaps     INFO     prepair year = 100
11/03/2017 02:02:16 PM landis.tiler              DEBUG    Start tiling process with multiprocessing
11/03/2017 02:02:20 PM landis.tiler              DEBUG    End tiling process with multiprocessing
11/03/2017 02:02:20 PM preworker.prepairMaps     INFO     scenario: Baseline Climate, BaseWind
11/03/2017 02:02:20 PM preworker.prepairMaps     INFO     extension: Output Leaf Biomass
11/03/2017 02:02:20 PM preworker.prepairMaps     INFO     output: Species Biomass Map: fraxamer
11/03/2017 02:02:20 PM preworker.prepairMaps     INFO     prepair year = 0
11/03/2017 02:02:20 PM preworker.prepairMaps     INFO     prepair year = 10
11/03/2017 02:02:20 PM preworker.prepairMaps     INFO     prepair year = 20
11/03/2017 02:02:20 PM preworker.prepairMaps     INFO     prepair year = 30
11/03/2017 02:02:20 PM preworker.prepairMaps     INFO     prepair year = 40
11/03/2017 02:02:20 PM preworker.prepairMaps     INFO     prepair year = 50
11/03/2017 02:02:20 PM preworker.prepairMaps     INFO     prepair year = 60
11/03/2017 02:02:21 PM preworker.prepairMaps     INFO     prepair year = 70
11/03/2017 02:02:21 PM preworker.prepairMaps     INFO     prepair year = 80
11/03/2017 02:02:21 PM preworker.prepairMaps     INFO     prepair year = 90
11/03/2017 02:02:21 PM preworker.prepairMaps     INFO     prepair year = 100
11/03/2017 02:02:22 PM landis.tiler              DEBUG    Start tiling process with multiprocessing
11/03/2017 02:02:25 PM landis.tiler              DEBUG    End tiling process with multiprocessing
11/03/2017 02:02:25 PM preworker.prepairMaps     INFO     scenario: Baseline Climate, BaseWind
11/03/2017 02:02:25 PM preworker.prepairMaps     INFO     extension: Output Leaf Biomass
11/03/2017 02:02:25 PM preworker.prepairMaps     INFO     output: Species Biomass Map: fraxnigr
11/03/2017 02:02:25 PM preworker.prepairMaps     INFO     prepair year = 0
11/03/2017 02:02:25 PM preworker.prepairMaps     INFO     prepair year = 10
11/03/2017 02:02:25 PM preworker.prepairMaps     INFO     prepair year = 20
11/03/2017 02:02:25 PM preworker.prepairMaps     INFO     prepair year = 30
11/03/2017 02:02:25 PM preworker.prepairMaps     INFO     prepair year = 40
11/03/2017 02:02:26 PM preworker.prepairMaps     INFO     prepair year = 50
11/03/2017 02:02:26 PM preworker.prepairMaps     INFO     prepair year = 60
11/03/2017 02:02:26 PM preworker.prepairMaps     INFO     prepair year = 70
11/03/2017 02:02:26 PM preworker.prepairMaps     INFO     prepair year = 80
11/03/2017 02:02:26 PM preworker.prepairMaps     INFO     prepair year = 90
11/03/2017 02:02:26 PM preworker.prepairMaps     INFO     prepair year = 100
11/03/2017 02:02:27 PM landis.tiler              DEBUG    Start tiling process with multiprocessing
11/03/2017 02:02:31 PM landis.tiler              DEBUG    End tiling process with multiprocessing
11/03/2017 02:02:31 PM preworker.prepairMaps     INFO     scenario: Climate Change, BaseWind
11/03/2017 02:02:31 PM preworker.prepairMaps     INFO     extension: Base Wind
11/03/2017 02:02:31 PM preworker.prepairMaps     INFO     output: severity
11/03/2017 02:02:31 PM preworker.prepairMaps     INFO     prepair year = 0 [year not available]
11/03/2017 02:02:31 PM preworker.prepairMaps     INFO     prepair year = 10
11/03/2017 02:02:31 PM preworker.prepairMaps     INFO     prepair year = 20
11/03/2017 02:02:31 PM preworker.prepairMaps     INFO     prepair year = 30
11/03/2017 02:02:31 PM preworker.prepairMaps     INFO     prepair year = 40
11/03/2017 02:02:31 PM preworker.prepairMaps     INFO     prepair year = 50
11/03/2017 02:02:31 PM preworker.prepairMaps     INFO     prepair year = 60
11/03/2017 02:02:31 PM preworker.prepairMaps     INFO     prepair year = 70
11/03/2017 02:02:31 PM preworker.prepairMaps     INFO     prepair year = 80
11/03/2017 02:02:31 PM preworker.prepairMaps     INFO     prepair year = 90
11/03/2017 02:02:32 PM preworker.prepairMaps     INFO     prepair year = 100
11/03/2017 02:02:32 PM landis.tiler              DEBUG    Start tiling process with multiprocessing
11/03/2017 02:02:36 PM landis.tiler              DEBUG    End tiling process with multiprocessing
11/03/2017 02:02:36 PM preworker.prepairMaps     INFO     scenario: Climate Change, BaseWind
11/03/2017 02:02:36 PM preworker.prepairMaps     INFO     extension: Output Leaf Biomass
11/03/2017 02:02:36 PM preworker.prepairMaps     INFO     output: Species Biomass Map: abiebals
