Time,EcoregionName,EcoregionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_Leaf,C_FRoot,C_Wood,C_CRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, MN101, 1, 10773, 0, 3719.1, 6346.1, 16.9, 4.8, 6.6, 5.7, 29.94, 341.4, 0.5, 31.3, 8.2, 2953.3, 605.3, 889.7, 194.8, 59.8, 38.2, 50.5, 14.8, 96.5, 152, 1925.6, 1545.1, 0.8, 0.2, 10.2, 10.8, 2.9, 3.4, 0.3, 1.2, 0.2, 0.8, 3.5, 16.3, 77.3, 183.4, 0.1, -0.3, 0, 0.1, 1.1, 1.6, -0.5, 0, 6.33, 0, 0.01, 0, 0, 0.3, 0.1, 312.9, 0.04, 0, 
0, MN102, 2, 8590, 0, 8288.7, 4032.9, 14.1, 3.9, 5.1, 5.2, 15.27, 676.7, 0.5, 27.9, 8, 1869.8, 384, 588.9, 131.6, 39.2, 20.1, 29.7, 8.3, 58, 47.7, 4862.1, 3320.9, 0.8, 0.2, 5.2, 6.8, 1.6, 2.3, 0.2, 0.6, 0.1, 0.5, 2, 5.5, 244.3, 391.1, 0, -0.1, 0, 0, 0.6, 1.3, -0.1, 0, 8.72, 0.07, 0.14, 0, 0, 0.2, 0.1, 659.6, 0.03, 0, 
0, MN103, 3, 8809, 0, 5713.5, 4012.3, 12, 3.3, 4.5, 4.3, 12.04, 451.3, 0.3, 30.6, 8.1, 1857.3, 384.1, 604.5, 132.5, 40.1, 20.8, 27.7, 8.1, 57.9, 35.3, 3452.8, 2167.5, 0.8, 0.2, 5.4, 6.7, 1.7, 2.3, 0.2, 0.7, 0.1, 0.5, 2, 3.9, 159.5, 255.2, 0, -0.1, 0, 0, 0.6, 1, -0.1, 0, 7.38, 0.02, 0.08, 0, 0, 0.2, 0.1, 434.1, 0.02, 0, 
0, MN104, 4, 5138, 0, 4913.9, 5650.5, 21.8, 5.8, 8.7, 7.5, 8.24, 344.1, 0.5, 70.6, 15.8, 2587.7, 553.8, 965.5, 200.8, 67.8, 32.2, 30.9, 10.3, 79.5, 37.6, 3247.6, 1549.1, 1.7, 0.4, 6.7, 8.7, 2.4, 3.1, 0.3, 1.1, 0.2, 0.5, 2.9, 3.5, 121.9, 182.4, 0.1, -0.2, 0, 0.1, 0.9, 0.9, -0.2, 0, 10.55, 0.01, 0.06, 0, 0, 0.3, 0.1, 321.1, 0.02, 0, 
0, MN200, 5, 7713, 0, 2691.8, 4660.5, 15.2, 4.4, 5.8, 5.1, 22.56, 252, 0.5, 29.6, 8, 2162.9, 444.4, 621.7, 138.3, 45.5, 26.4, 36, 10.2, 67, 59.1, 1287.8, 1277.8, 0.8, 0.2, 6.6, 7.8, 1.8, 2.4, 0.2, 0.8, 0.2, 0.6, 2.5, 6.4, 48.2, 150.8, 0, -0.2, 0, 0.1, 0.8, 1.5, -0.5, 0, 7.25, 0.01, 0.08, 0, 0, 0.3, 0.1, 232.3, 0.04, 0, 
0, MN201, 6, 42783, 0, 5650, 5189.3, 7.7, 2.1, 3, 2.5, 11.31, 423, 0.2, 33.4, 8.8, 2407.7, 494.8, 716.4, 160.9, 52.1, 30.5, 40.1, 11.2, 75.8, 52.1, 3622.6, 1899.5, 0.9, 0.3, 7.2, 8.6, 2.1, 2.8, 0.3, 1, 0.2, 0.6, 2.9, 5.1, 156.1, 223.8, 0, -0.2, 0, 0.1, 0.9, 0.9, -0.1, 0, 3.36, 0.01, 0.02, 0, 0, 0.1, 0.1, 401.2, 0.01, 0, 
0, MN202, 7, 17504, 0, 5789, 4265.9, 11.2, 3.1, 4.4, 3.6, 11.66, 451.8, 0.3, 31.8, 8, 1975.1, 411.8, 616.5, 132, 45, 24.6, 31.3, 9.4, 63.2, 40, 3545.7, 2140.1, 0.8, 0.2, 5.8, 7.2, 1.7, 2.2, 0.2, 0.8, 0.2, 0.5, 2.3, 4.1, 162, 252, 0, -0.2, 0, 0.1, 0.7, 1, -0.1, 0, 5.04, 0.01, 0.05, 0, 0, 0.2, 0.1, 433.8, 0.01, 0, 
0, MN203, 8, 1202, 0, 2088.1, 4054.5, 17.5, 4.8, 6.7, 5.8, 23.28, 197.9, 0.6, 29.6, 7.9, 1878.4, 387.5, 551, 125.3, 38, 20.3, 29.4, 8.3, 56.2, 34.6, 989.6, 1007.7, 0.8, 0.2, 5.5, 6.9, 1.6, 2.2, 0.2, 0.6, 0.1, 0.5, 1.9, 3.9, 31.3, 118.7, 0, -0.1, 0, 0, 0.6, 1.5, -0.5, 0, 10.24, 0.01, 0.14, 0, 0, 0.3, 0.1, 180.6, 0.06, 0, 
0, MN204, 9, 14335, 0, 3919.9, 3594.6, 9.5, 2.6, 3.7, 3.2, 14.85, 300.2, 0.3, 36.7, 9, 1654.9, 347.5, 554.5, 120.4, 39.5, 20.1, 23.9, 7.2, 51.9, 24.2, 2462, 1381.8, 0.9, 0.3, 4.5, 5.8, 1.4, 2, 0.2, 0.7, 0.1, 0.4, 1.9, 2.5, 102, 162.7, 0, -0.1, 0, 0, 0.6, 0.9, -0.1, 0, 5.91, 0.01, 0.06, 0, 0, 0.2, 0.1, 285.4, 0.02, 0, 
0, MN300, 10, 8832, 0, 2774.9, 5145.9, 18.9, 5.3, 7.2, 6.5, 30.48, 261.7, 0.6, 39.2, 10.3, 2381.5, 490.8, 699.5, 158.2, 52.4, 28.9, 38.7, 10.7, 74.4, 63.2, 1393.1, 1244.3, 1.1, 0.3, 6.9, 8.6, 2, 2.8, 0.3, 0.9, 0.2, 0.6, 2.8, 7.1, 51, 146.8, 0, -0.2, 0, 0, 0.9, 1.7, -0.6, 0, 8.44, 0, 0.06, 0, 0, 0.3, 0.1, 240.1, 0.05, 0, 
0, MN301, 11, 41134, 0, 5539.5, 5790.3, 9.2, 2.5, 3.6, 3, 13.95, 409.2, 0.2, 39.1, 10.2, 2684.5, 552.2, 791, 177.5, 58.3, 33.1, 43.1, 12.1, 82.7, 47.3, 3599.4, 1810.2, 1.1, 0.3, 8, 9.5, 2.3, 3, 0.3, 1.1, 0.2, 0.7, 3.1, 4.6, 147.9, 213.2, 0.1, -0.2, 0, 0.1, 1, 1.1, -0.2, 0, 3.66, 0, 0.02, 0, 0, 0.1, 0.1, 385, 0.01, 0, 
0, MN302, 12, 61583, 0, 8006.7, 3895.4, 6.2, 1.7, 2.3, 2.3, 13.85, 653.4, 0.2, 27.8, 7.6, 1805.2, 373.2, 563.9, 123.9, 37.1, 19.5, 27.2, 7.7, 54.9, 46.1, 4670.5, 3235.1, 0.8, 0.2, 5.2, 6.5, 1.6, 2.1, 0.2, 0.6, 0.1, 0.4, 2, 5.2, 233.6, 381, 0, -0.1, 0, 0, 0.6, 1.2, -0.1, 0.1, 3.49, 0.03, 0.05, 0, 0, 0.1, 0, 637, 0.01, 0, 
0, MN303, 13, 10582, 0, 5679.3, 4958.3, 17.6, 4.8, 6.9, 5.8, 13.59, 434.8, 0.5, 49.3, 11.9, 2283.3, 478.5, 721, 156.1, 53.9, 27.5, 32.6, 9.7, 70.1, 40.2, 3553.4, 2015.5, 1.2, 0.3, 6.2, 8, 1.9, 2.6, 0.3, 0.9, 0.2, 0.5, 2.7, 4.2, 154.8, 237.3, 0, -0.2, 0, 0, 0.9, 1.1, -0.2, 0, 8.17, 0.01, 0.06, 0, 0, 0.3, 0.1, 414.5, 0.02, 0, 
0, MN304, 14, 29110, 0, 3098.2, 6030.8, 13.1, 3.5, 5.3, 4.3, 12.92, 265, 0.4, 56.8, 13.5, 2780, 584.6, 951.4, 202.7, 67.6, 35.3, 39.1, 11.8, 85.2, 70.2, 1558.6, 1384.2, 1.4, 0.4, 7.6, 9.4, 2.4, 3.2, 0.3, 1.2, 0.2, 0.6, 3.3, 7.3, 51.5, 163.3, 0.1, -0.2, 0, 0.1, 1.1, 1.9, -0.7, 0, 5.15, 0.01, 0.05, 0, 0, 0.2, 0.1, 240.6, 0.01, 0, 
0, MN400, 15, 1544, 0, 6148.2, 5461, 19.8, 5.8, 7.8, 6.2, 12.06, 468.6, 0.5, 69.6, 15.9, 2499.5, 520.4, 625.3, 141, 69.4, 35.9, 39.4, 11.5, 79.5, 46.7, 3888.7, 2133.3, 1.7, 0.4, 6.7, 8.3, 1.7, 2.2, 0.4, 1.3, 0.2, 0.6, 3.6, 4.8, 173.6, 251.1, 0.1, -0.2, 0, 0, 1.2, 1.3, -0.2, 0, 5.95, 0.01, 0.04, 0, 0, 0.3, 0.2, 447.7, 0.01, 0, 
