Time,InitRow,InitColumn,InitFuel,InitPercentConifer,SizeOrDuration,SizeBin,Duration,FireSeason,WindSpeed,WindDirection,FFMC,BUI,PercentCuring,ISI,FWI,TotalSites,CohortsKilled,MeanSeverity,
1, 787, 33, 14, 100, 3.38253936698457, 0, 9.28236019878034, Spring, 13.513104, 5.32956000000002, 87, 46, 50, 2, 14.7444763529066, 1, 16, 2, 
1, 887, 147, 4, 100, 3.60875390690935, 0, 6.39888198329044, Summer, 14.78380572, 114.81595, 87, 195, 51, 2, 27.6665581668924, 1, 4, 2, 
1, 800, 18, 2, 74, 3.16988329853299, 0, 9.45545297298177, Fall, 6.523767, 323.1799, 89, 204, 100, 2, 26.4318135403207, 1, 11, 2, 
1, 898, 470, 1, 85, 3.05560210373809, 0, 24.1477185111361, Summer, 8.59243212, 164.36337, 88, 128, 51, 4, 22.7121083440906, 1, 10, 0.5, 
1, 923, 46, 2, 83, 3.18752845363103, 0, 7.38802566137666, Spring, 13.79539584, 171.79883, 88, 28, 50, 4, 12.9804384293934, 1, 7, 2, 
1, 812, 226, 14, 100, 3.16285330409245, 0, 2.24544392452618, Fall, 24.5793618, 264.90213, 89, 206, 100, 6, 47.3809689679761, 1, 16, 2.5, 
1, 868, 387, 6, 100, 3.00130829191051, 0, 9.54094523069771, Summer, 6.18803532, 312.18286, 88, 164, 51, 2, 23.1291747045669, 1, 4, 2, 
1, 849, 494, 2, 85, 3.46986068805075, 0, 2.63725572036398, Fall, 24.101064, 266.57019, 89, 205, 100, 6, 46.073905959822, 1, 12, 2.5, 
1, 903, 169, 2, 76, 3.04870429474762, 0, 8.55768635119541, Summer, 12.54352176, 8.17330000000004, 88, 198, 51, 2, 30.2449810396667, 1, 11, 2, 
1, 824, 448, 4, 100, 3.13602531228513, 0, 2.97069802019215, Spring, 29.0578788, 348.95042, 87, 51, 50, 5, 27.2255248097361, 1, 3, 2.5, 
1, 922, 217, 2, 100, 3.06962954315686, 0, 3.51799960381525, Summer, 17.48902932, 146.93512, 89, 167, 51, 4, 35.6320343055568, 1, 2, 2.5, 
1, 719, 164, 14, 100, 3.20976347060574, 0, 2.24544392452618, Fall, 24.5793618, 264.90213, 89, 206, 100, 6, 47.3809689679761, 1, 16, 2.5, 
1, 957, 419, 2, 82, 3.04594542474488, 0, 8.73410099082644, Fall, 6.74410464, 280.31985, 89, 202, 100, 2, 26.493449658042, 1, 5, 2, 
1, 810, 5, 2, 76, 3.08365757902892, 0, 6.57338269478373, Summer, 15.26659812, 101.67706, 88, 185, 51, 3, 31.0651196869961, 1, 11, 2, 
1, 835, 361, 6, 100, 3.20280099677455, 0, 5.21444666657346, Spring, 22.194144, 21.42738, 87, 44, 50, 4, 19.8783598673861, 1, 8, 2, 
1, 866, 144, 2, 100, 3.20579454216708, 0, 11.6562743957341, Spring, 14.4170784, 151.53036, 86, 37, 50, 2, 11.8653807739164, 1, 5, 1.5, 
1, 941, 443, 2, 75, 3.08691908362212, 0, 5.29064018293816, Fall, 15.0200928, 16.98328, 89, 201, 100, 3, 34.9141853749834, 1, 7, 2, 
1, 903, 78, 2, 100, 3.13801832581786, 0, 4.64627491805318, Fall, 19.3518108, 159.34253, 87, 203, 100, 3, 34.3498224607857, 1, 2, 2, 
1, 866, 88, 14, 100, 3.65895086564187, 0, 6.4826273902839, Summer, 11.67952932, 168.00455, 88, 181, 51, 2, 27.391281249994, 1, 16, 2, 
1, 938, 186, 2, 85, 3.06691846845478, 0, 4.52935574209593, Summer, 11.784114, 156.86325, 88, 122, 51, 4, 24.5040751510914, 1, 12, 2.5, 
1, 919, 465, 5, 100, 3.30453653970737, 0, 452.969508585154, Fall, 12.1640238, 336.33696, 85, 209, 100, 1, 21.4418028624401, 1, 2, 0.5, 
1, 900, 16, 5, 100, 3.09656356242226, 0, 13.3360699192152, Summer, 29.3302998, 345.79762, 87, 183, 51, 6, 46.5822874169674, 1, 0, 0.5, 
1, 947, 188, 2, 74, 3.22111724598299, 0, 5.03090284093611, Summer, 19.96679988, 138.11514, 88, 147, 51, 4, 35.716075689437, 1, 11, 2, 
1, 836, 65, 2, 81, 3.0482110797897, 0, 8.14317833473347, Summer, 21.9589884, 6.83695999999998, 87, 129, 51, 2, 33.437518511085, 1, 11, 2, 
1, 893, 531, 6, 85, 3.0246274449088, 0, 5.57900922518666, Fall, 5.526414, 251.13423, 89, 203, 100, 3, 25.3841403920746, 1, 6, 2, 
1, 886, 71, 2, 100, 3.01575852845656, 0, 5.32045256019468, Summer, 9.96443136, 204.86216, 89, 153, 51, 3, 26.7026736884159, 1, 8, 2, 
1, 866, 145, 2, 100, 3.16685049575413, 0, 14.142028954865, Fall, 5.4463482, 114.91254, 86, 205, 100, 1, 18.6475738420987, 1, 5, 1.5, 
1, 960, 408, 6, 100, 3.092702274297, 0, 3.3183155143588, Summer, 20.64369492, 165.92203, 89, 79, 51, 5, 30.0483772965879, 1, 9, 2.5, 
1, 957, 216, 2, 100, 3.05306724154369, 0, 15.6330780404979, Spring, 6.9569658, 248.2949, 87, 40, 50, 1, 10.320863127582, 1, 3, 1.5, 
1, 952, 305, 6, 74, 3.09713279495499, 0, 15.389401583483, Spring, 11.08203948, 140.26978, 88, 33, 50, 2, 12.3031868071169, 1, 10, 0.5, 
1, 857, 330, 2, 74, 3.3198590692072, 0, 7.08416027462439, Fall, 5.526414, 251.13423, 89, 203, 100, 3, 25.3841403920746, 1, 11, 2, 
