Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
10, 333, 519, 26, 26, 63, 4, 
10, 336, 398, 369, 362, 350, 2, 
10, 339, 384, 30, 0, 0, 0, 
10, 342, 326, 16, 0, 0, 0, 
10, 344, 719, 8, 0, 0, 0, 
10, 345, 689, 121, 118, 70, 2, 
10, 346, 708, 16, 14, 3, 2, 
10, 347, 348, 20, 0, 0, 0, 
10, 347, 771, 40, 40, 405, 5, 
10, 350, 280, 57, 47, 9, 2, 
10, 353, 233, 63, 0, 0, 0, 
10, 353, 308, 94, 94, 999, 5, 
10, 353, 797, 162, 162, 1764, 5, 
10, 353, 890, 59, 0, 0, 0, 
10, 354, 824, 2, 2, 1, 2, 
10, 355, 213, 6, 6, 15, 3, 
10, 355, 217, 25, 5, 1, 2, 
10, 355, 323, 4, 3, 6, 1, 
10, 356, 835, 112, 0, 0, 0, 
10, 358, 244, 14, 0, 0, 0, 
10, 358, 696, 5, 5, 9, 3, 
10, 361, 79, 54, 54, 32, 3, 
10, 371, 197, 8, 8, 64, 5, 
10, 375, 642, 51, 0, 0, 0, 
10, 378, 11, 217, 217, 1546, 5, 
10, 378, 556, 123, 122, 16, 2, 
10, 379, 608, 44, 0, 0, 0, 
10, 379, 924, 14, 0, 0, 0, 
10, 383, 874, 62, 23, 5, 1, 
10, 384, 630, 1, 1, 1, 1, 
10, 384, 657, 162, 0, 0, 0, 
10, 384, 895, 12, 0, 0, 0, 
10, 390, 205, 29, 0, 0, 0, 
10, 391, 859, 49, 0, 0, 0, 
10, 391, 867, 31, 0, 0, 0, 
10, 396, 778, 43, 0, 0, 0, 
10, 397, 252, 157, 157, 1115, 5, 
10, 398, 559, 22, 17, 2, 2, 
10, 399, 129, 18, 0, 0, 0, 
10, 401, 702, 113, 113, 711, 4, 
10, 403, 546, 26, 0, 0, 0, 
10, 406, 46, 95, 0, 0, 0, 
10, 409, 221, 119, 0, 0, 0, 
10, 410, 484, 23, 0, 0, 0, 
10, 413, 613, 67, 63, 25, 2, 
10, 415, 581, 46, 46, 301, 5, 
10, 418, 239, 34, 32, 13, 2, 
10, 418, 817, 37, 0, 0, 0, 
10, 420, 703, 12, 5, 4, 2, 
10, 421, 725, 35, 31, 35, 1.58, 
10, 421, 761, 64, 0, 0, 0, 
10, 422, 181, 9, 0, 0, 0, 
10, 423, 138, 28, 0, 0, 0, 
10, 423, 884, 88, 80, 51, 2, 
10, 424, 571, 175, 175, 1542, 5, 
10, 426, 31, 11, 10, 11, 2, 
10, 428, 212, 45, 0, 0, 0, 
10, 429, 656, 112, 0, 0, 0, 
10, 431, 588, 91, 80, 20, 1, 
10, 431, 898, 166, 166, 1543, 5, 
10, 435, 221, 79, 79, 107, 1.97, 
10, 435, 680, 109, 106, 59, 2, 
10, 435, 688, 87, 0, 0, 0, 
10, 437, 658, 1, 0, 0, 0, 
10, 437, 679, 7, 0, 0, 0, 
10, 438, 904, 33, 20, 3, 2, 
10, 440, 649, 159, 0, 0, 0, 
10, 441, 201, 80, 80, 832, 5, 
10, 441, 718, 27, 27, 304, 5, 
10, 443, 670, 426, 426, 2205, 5, 
10, 444, 908, 37, 0, 0, 0, 
10, 445, 822, 36, 0, 0, 0, 
10, 451, 889, 1, 1, 12, 5, 
10, 452, 585, 47, 0, 0, 0, 
10, 453, 698, 1, 0, 0, 0, 
10, 453, 770, 13, 13, 38, 3, 
10, 454, 790, 45, 0, 0, 0, 
10, 458, 587, 23, 11, 4, 2, 
10, 458, 596, 137, 0, 0, 0, 
10, 463, 553, 24, 0, 0, 0, 
10, 463, 769, 56, 55, 86, 2, 
10, 467, 593, 118, 0, 0, 0, 
10, 468, 769, 189, 0, 0, 0, 
10, 469, 140, 551, 551, 4018, 5, 
10, 471, 437, 159, 0, 0, 0, 
10, 474, 918, 13, 13, 111, 4, 
10, 475, 814, 126, 0, 0, 0, 
10, 476, 757, 20, 0, 0, 0, 
10, 477, 814, 91, 0, 0, 0, 
10, 478, 648, 158, 0, 0, 0, 
10, 478, 889, 70, 70, 313, 5, 
10, 480, 621, 35, 11, 3, 2, 
10, 485, 531, 108, 105, 31, 1, 
10, 502, 255, 163, 0, 0, 0, 
10, 505, 563, 298, 296, 67, 1, 
10, 528, 584, 27, 0, 0, 0, 
10, 531, 577, 49, 0, 0, 0, 
10, 541, 169, 105, 91, 20, 2, 
10, 542, 62, 103, 0, 0, 0, 
10, 557, 228, 296, 296, 2781, 5, 
10, 566, 176, 262, 0, 0, 0, 
10, 573, 261, 349, 0, 0, 0, 
10, 573, 289, 93, 3, 4, 2, 
10, 586, 668, 32, 0, 0, 0, 
10, 598, 183, 168, 0, 0, 0, 
10, 598, 467, 55, 0, 0, 0, 
10, 604, 511, 15, 15, 15, 4, 
10, 605, 601, 56, 56, 218, 4, 
10, 606, 257, 275, 0, 0, 0, 
10, 607, 152, 240, 238, 173, 2, 
10, 607, 614, 27, 0, 0, 0, 
10, 608, 116, 2, 0, 0, 0, 
10, 608, 337, 23, 0, 0, 0, 
10, 611, 442, 726, 726, 5457, 5, 
10, 616, 174, 65, 65, 263, 4, 
10, 618, 370, 76, 75, 98, 3, 
10, 621, 285, 36, 35, 3, 1, 
10, 623, 375, 132, 0, 0, 0, 
10, 627, 218, 471, 471, 3610, 5, 
10, 636, 621, 60, 0, 0, 0, 
10, 638, 453, 107, 107, 58, 1.92, 
10, 642, 146, 329, 0, 0, 0, 
10, 646, 384, 112, 57, 8, 1, 
10, 647, 583, 60, 58, 74, 3, 
10, 648, 566, 48, 45, 34, 2, 
10, 648, 608, 11, 0, 0, 0, 
10, 652, 562, 10, 7, 7, 2, 
