Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
10, 8, 660, 17, 0, 0, 0, 
10, 9, 304, 363, 359, 171, 2, 
10, 12, 540, 62, 62, 426, 5, 
10, 13, 562, 41, 41, 403, 5, 
10, 17, 542, 133, 133, 1082, 5, 
10, 22, 599, 81, 77, 56, 2, 
10, 25, 549, 18, 0, 0, 0, 
10, 29, 584, 142, 142, 1510, 5, 
10, 35, 310, 394, 384, 250, 2, 
10, 37, 538, 58, 53, 111, 3, 
10, 47, 473, 168, 0, 0, 0, 
10, 62, 420, 399, 399, 3674, 5, 
10, 67, 467, 60, 0, 0, 0, 
10, 73, 313, 4, 0, 0, 0, 
10, 76, 515, 35, 0, 0, 0, 
10, 79, 540, 135, 135, 883, 5, 
10, 82, 556, 136, 0, 0, 0, 
10, 86, 496, 11, 11, 73, 5, 
10, 89, 613, 274, 274, 2200, 5, 
10, 99, 423, 19, 0, 0, 0, 
10, 102, 641, 204, 0, 0, 0, 
10, 103, 653, 173, 113, 160, 2, 
10, 114, 677, 48, 0, 0, 0, 
10, 115, 677, 47, 0, 0, 0, 
10, 117, 436, 50, 28, 21, 2, 
10, 118, 510, 46, 0, 0, 0, 
10, 118, 582, 92, 0, 0, 0, 
10, 119, 422, 62, 62, 319, 4, 
10, 132, 639, 75, 75, 183, 4, 
10, 138, 530, 10, 10, 64, 5, 
10, 140, 318, 86, 86, 593, 5, 
10, 140, 397, 59, 0, 0, 0, 
10, 143, 307, 3, 0, 0, 0, 
10, 148, 699, 6, 0, 0, 0, 
10, 150, 346, 11, 0, 0, 0, 
10, 150, 591, 104, 0, 0, 0, 
10, 151, 799, 114, 107, 3, 1, 
10, 152, 357, 32, 16, 12, 2, 
10, 154, 287, 202, 202, 210, 2, 
10, 157, 817, 39, 34, 9, 3, 
10, 160, 237, 1, 0, 0, 0, 
10, 164, 553, 18, 14, 4, 2, 
10, 165, 499, 77, 0, 0, 0, 
10, 166, 314, 218, 0, 0, 0, 
10, 166, 411, 19, 19, 20, 1, 
10, 167, 174, 48, 48, 536, 4.98, 
10, 167, 624, 360, 0, 0, 0, 
10, 169, 699, 251, 251, 2832, 5, 
10, 170, 759, 40, 0, 0, 0, 
10, 171, 410, 122, 0, 0, 0, 
10, 171, 471, 42, 42, 356, 5, 
10, 171, 552, 23, 12, 4, 2, 
10, 171, 696, 77, 77, 26, 1, 
10, 172, 246, 201, 0, 0, 0, 
10, 172, 706, 112, 0, 0, 0, 
10, 173, 308, 87, 1, 7, 5, 
10, 173, 485, 59, 0, 0, 0, 
10, 173, 670, 133, 0, 0, 0, 
10, 174, 443, 55, 0, 0, 0, 
10, 175, 486, 5, 0, 0, 0, 
10, 175, 765, 128, 0, 0, 0, 
10, 179, 677, 22, 17, 20, 2, 
10, 180, 651, 82, 82, 1008, 5, 
10, 184, 642, 63, 0, 0, 0, 
10, 184, 733, 70, 60, 42, 2, 
10, 185, 623, 35, 0, 0, 0, 
10, 186, 221, 266, 0, 0, 0, 
10, 188, 143, 341, 341, 265, 2, 
10, 189, 76, 347, 342, 90, 1, 
10, 192, 244, 33, 23, 6, 2, 
10, 194, 499, 26, 22, 1, 1, 
10, 195, 15, 62, 0, 0, 0, 
10, 195, 557, 29, 26, 12, 2, 
10, 196, 688, 105, 105, 812, 5, 
10, 197, 351, 42, 0, 0, 0, 
10, 197, 688, 11, 0, 0, 0, 
10, 199, 758, 43, 0, 0, 0, 
10, 199, 781, 70, 70, 86, 2, 
10, 200, 581, 24, 24, 289, 5, 
10, 203, 652, 7, 7, 47, 4.43, 
10, 206, 128, 122, 119, 22, 2, 
10, 206, 492, 10, 0, 0, 0, 
10, 208, 688, 30, 26, 16, 2, 
10, 209, 462, 74, 74, 169, 2, 
10, 212, 732, 168, 167, 54, 1, 
10, 213, 769, 87, 0, 0, 0, 
10, 214, 276, 8, 8, 42, 5, 
10, 214, 737, 87, 1, 10, 5, 
10, 215, 677, 12, 0, 0, 0, 
10, 215, 793, 16, 0, 0, 0, 
10, 216, 375, 25, 25, 157, 5, 
10, 216, 633, 104, 104, 137, 2, 
10, 220, 241, 73, 73, 781, 5, 
10, 222, 309, 78, 0, 0, 0, 
10, 222, 515, 38, 8, 1, 1, 
10, 222, 735, 23, 0, 0, 0, 
10, 226, 714, 17, 0, 0, 0, 
10, 227, 470, 46, 46, 216, 3.89, 
10, 227, 685, 202, 202, 1530, 5, 
10, 229, 575, 68, 68, 9, 1, 
10, 230, 374, 34, 2, 3, 2, 
10, 231, 799, 179, 171, 73, 1, 
10, 233, 382, 31, 31, 194, 4.84, 
10, 233, 827, 1, 0, 0, 0, 
10, 234, 582, 49, 6, 2, 1, 
10, 234, 627, 29, 29, 206, 4.97, 
10, 236, 803, 16, 1, 16, 5, 
10, 237, 647, 24, 0, 0, 0, 
10, 238, 97, 18, 0, 0, 0, 
10, 240, 782, 41, 40, 79, 1.98, 
10, 240, 785, 12, 0, 0, 0, 
10, 244, 571, 26, 0, 0, 0, 
10, 250, 538, 86, 0, 0, 0, 
10, 253, 575, 50, 0, 0, 0, 
10, 254, 442, 13, 6, 2, 1, 
10, 254, 659, 157, 128, 147, 2, 
10, 254, 676, 49, 0, 0, 0, 
10, 257, 584, 230, 0, 0, 0, 
10, 258, 433, 75, 0, 0, 0, 
10, 258, 599, 107, 97, 4, 1, 
10, 258, 662, 5, 0, 0, 0, 
10, 260, 449, 28, 28, 269, 5, 
10, 262, 369, 112, 112, 153, 3, 
10, 263, 444, 93, 93, 929, 5, 
