02/02/2018 09:48:50 AM landis.main               INFO     Start LANDIS-II PreProcTool
02/02/2018 09:48:50 AM collector.setupConfig     INFO     Setup application configuration
02/02/2018 09:48:50 AM collector.setupConfig     DEBUG    Detect Application Folder: C:\Users\mshukun\Documents\LANDVIZ\src\PreProcTool\dist\PreProcTool\preproctool.exe
02/02/2018 09:48:50 AM collector.setupConfig     DEBUG    Detect Project File: C:\Users\mshukun\Documents\LANDVIZ\src\PreProcTool\test\example_project\preproc_VizTool_example.xml
02/02/2018 09:48:50 AM collector.setupConfig     DEBUG    Detect Output Folder: C:\Users\mshukun\Documents\LANDVIZ\src\PreProcTool\test\sample_output
02/02/2018 09:48:50 AM collector.createProject   INFO     Create Project
02/02/2018 09:48:50 AM collector.createProject   DEBUG    Load Information from project file: C:\Users\mshukun\Documents\LANDVIZ\src\PreProcTool\test\example_project\preproc_VizTool_example.xml
02/02/2018 09:48:50 AM collector.createProject   INFO     Project name: "Chippewa National Forest Landscape"
02/02/2018 09:48:50 AM collector.loadSRS         INFO     Load spatial refrence and geo extent from the project xml file
02/02/2018 09:48:50 AM collector.loadSRS         DEBUG    SRS definition: PROJCS["UTM Zone 15, Northern Hemisphere",GEOGCS["NAD83",DATUM["North_American_Datum_1983",SPHEROID["GRS 1980",6378137,298.257222101,AUTHORITY["EPSG","7019"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6269"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.0174532925199433,AUTHORITY["EPSG","9122"]],AUTHORITY["EPSG","4269"]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",0],PARAMETER["central_meridian",-93],PARAMETER["scale_factor",0.9996],PARAMETER["false_easting",500000],PARAMETER["false_northing",0],UNIT["Meter",1]]
02/02/2018 09:48:50 AM collector.loadSRS         DEBUG    geo extent: {'lry': '5202717.52204077', 'lrx': '466234.717985773', 'ulx': '373434.717985773', 'uly': '5300017.52204077'}
02/02/2018 09:48:50 AM collector.loadMapPrefs    INFO     Load Map Preferences form project xml file
02/02/2018 09:48:50 AM collector.loadMapPrefs    DEBUG    Zoom: [{'max': '11', 'init': '9', 'min': '7'}]
02/02/2018 09:48:50 AM collector.loadMapPrefs    DEBUG    Basemap: [{'source': 'osm', 'saturation': '0', 'contrast': '1', 'brightness': '0'}]
02/02/2018 09:48:50 AM collector.loadMapPrefs    DEBUG    Legend: [{'qualitativeCol': 'Paired', 'sequentialCol': 'Reds', 'initClassCount': '3', 'divergingCol': 'PiYG'}]
02/02/2018 09:48:50 AM collector.loadDataStruct  INFO     Load Datastructure from Lanids Metadata
02/02/2018 09:48:50 AM output.genOutputDirs      INFO     Generate output directories
02/02/2018 09:48:50 AM output.genOutputDirs      DEBUG    Create landisdata directory: ..\..\test\sample_output\landisdata
02/02/2018 09:48:50 AM preworker.prepairTables   INFO     Start prepairing Table Output
02/02/2018 09:48:50 AM preworker.prepairTables   INFO     End prepairing Table Output [time: 0.0309998989105 sec]
02/02/2018 09:48:50 AM preworker.prepairMaps     INFO     Start prepairing Map Output
02/02/2018 09:48:50 AM preworker.prepairMaps     INFO     scenario: Baseline Climate, BaseWind
02/02/2018 09:48:50 AM preworker.prepairMaps     INFO     extension: Base Wind
02/02/2018 09:48:50 AM preworker.prepairMaps     INFO     output: severity
02/02/2018 09:48:50 AM preworker.prepairMaps     INFO     prepair year = 0 [year not available]
02/02/2018 09:48:50 AM preworker.prepairMaps     INFO     prepair year = 10
02/02/2018 09:48:50 AM preworker.prepairMaps     INFO     prepair year = 20
02/02/2018 09:48:50 AM preworker.prepairMaps     INFO     prepair year = 30
02/02/2018 09:48:50 AM preworker.prepairMaps     INFO     prepair year = 40
